date,tournament,home_team,away_team,home_goals,away_goals,goal_diff,home_win,overall_diff,age_diff,balance_diff,player_pool_diff,rank_advantage,points_diff
2005-05-31,Friendly,France,Hungary,2,1,1,1,-1.173160890952289,-1.4731387829547344,2.2347475181268033,941.0,29.0,336.1400000000001
2005-06-02,Friendly,Finland,Denmark,0,1,-1,0,0.9972030579899354,0.45841879545031006,-0.90718965777749,-284.0,-42.0,-214.1199999999999
2005-06-03,FIFA World Cup qualification,Saudi Arabia,Kuwait,3,0,3,1,-4.911854103343465,-2.2477203647416424,-1.3163126812977568,327.0,80.0,332.8799999999999
2005-06-04,FIFA World Cup qualification,Azerbaijan,Poland,0,3,-3,0,0.22933446375583344,-0.23145400593471877,-2.381160291182523,-330.0,-83.0,-343.64999999999986
2005-06-04,FIFA World Cup qualification,Benin,Cameroon,1,4,-3,0,0.34883720930233153,1.2159468438538212,-1.7145201169239392,-72.0,-40.0,-204.28999999999996
2005-06-04,FIFA World Cup qualification,Bulgaria,Croatia,1,3,-2,0,-1.9521823742007172,2.4728940783986637,-2.4884945982422266,-76.0,-70.0,-405.80999999999995
2005-06-04,FIFA World Cup qualification,Ecuador,Argentina,2,0,2,1,2.7477104047052308,1.1214115670074207,-1.7614981751105026,-928.0,-26.0,-336.80999999999995
2005-06-04,FIFA World Cup qualification,Faroe Islands,Switzerland,1,3,-2,0,-2.994992846924177,-1.5557939914163086,-2.39526988084266,-227.0,-123.0,-560.3999999999999
2005-06-04,FIFA World Cup qualification,Netherlands,Romania,2,0,2,1,-0.6682074987159723,-2.700841531350008,0.8043805948282152,370.0,38.0,283.80999999999995
2005-06-04,Friendly,Northern Ireland,Germany,1,4,-3,0,-3.4241330069359392,1.3555079559363534,0.08742976153504944,-1054.0,-61.0,-344.69000000000005
2005-06-04,FIFA World Cup qualification,Portugal,Slovakia,2,0,2,1,3.8494550408719306,-0.36341961852861004,-0.20484282687136446,303.0,36.0,262.3600000000001
2005-06-04,FIFA World Cup qualification,Serbia,Belgium,0,0,0,0,2.3480207872622714,1.5201514816452892,-1.9227636727262594,-139.0,-26.0,-265.53999999999996
2005-06-04,FIFA World Cup qualification,Spain,Lithuania,1,0,1,1,5.855822701995422,0.7119725220804725,-0.2548273248836441,1007.0,132.0,735.01
2005-06-04,FIFA World Cup qualification,Venezuela,Uruguay,1,1,0,0,-0.43790849673202104,-1.3398692810457504,-0.7458020017988511,-102.0,-26.0,-211.69000000000005
2005-06-05,FIFA World Cup qualification,Brazil,Paraguay,4,1,3,1,1.2286535303776702,1.106678803455413,0.013345016187157555,743.0,57.0,388.80999999999995
2005-06-05,FIFA World Cup qualification,Congo,Senegal,0,0,0,0,-3.2114164904862577,-0.3646934460887934,0.22967297331397152,-107.0,-99.0,-460.6099999999999
2005-06-05,FIFA World Cup qualification,Ghana,Burkina Faso,2,1,1,1,-1.7393162393162385,-1.4902319902319903,-0.8103229165851955,103.0,3.0,6.089999999999918
2005-06-07,FIFA World Cup qualification,Peru,Uruguay,0,0,0,0,-0.7437908496732035,-0.15751633986928226,-0.6013338903552423,-123.0,-31.0,-223.47000000000003
2005-06-08,FIFA World Cup qualification,Argentina,Brazil,3,1,2,1,-3.1295170882360566,-1.2754855917711012,1.1968993147023017,153.0,4.0,81.6400000000001
2005-06-08,FIFA World Cup qualification,Colombia,Ecuador,3,0,3,1,-4.836148648648646,-1.6655405405405403,1.3769709495553384,555.0,18.0,196.87999999999988
2005-06-08,FIFA World Cup qualification,Denmark,Albania,3,1,2,1,-2.9478943022295567,-0.3215524360033051,0.31119708407425417,311.0,45.0,232.02999999999997
2005-06-08,FIFA World Cup qualification,Estonia,Portugal,0,1,-1,0,-5.849455040871931,1.73841961852861,-1.2914701312643109,-359.0,-115.0,-594.96
2005-06-08,FIFA World Cup qualification,Finland,Netherlands,0,4,-4,0,-3.754154447702831,0.7946086171892652,0.4749040098359396,-367.0,-56.0,-365.1099999999999
2005-06-08,Friendly,Germany,Russia,2,2,0,0,-0.5697110423116669,-1.0293945648434821,0.10921631746053428,834.0,20.0,179.44000000000005
2005-06-08,Friendly,Italy,Serbia,1,1,0,0,-3.477401262856759,0.20599057092041662,1.7732918483354512,666.0,22.0,207.38999999999987
2005-06-08,FIFA World Cup qualification,Saudi Arabia,Uzbekistan,3,0,3,1,-7.311854103343471,-2.347720364741644,-1.7818223419989918,324.0,5.0,33.88999999999987
2005-06-09,Friendly,Australia,New Zealand,1,0,1,1,0.7840250405750098,-0.2661720380245747,-0.6936932077400666,189.0,79.0,372.3299999999999
2005-06-11,Friendly,Ecuador,Italy,1,1,0,0,3.5473057538138875,1.4345296485471692,-2.4255543707791833,-762.0,-17.0,-183.8499999999999
2005-06-11,FIFA World Cup qualification,Tunisia,Guinea,2,0,2,1,-0.6954838709677489,2.5212903225806436,-2.4353260925689773,6.0,36.0,169.26
2005-06-15,Confederations Cup,Argentina,Tunisia,2,1,1,1,-0.29871302022397117,-1.2286478355340122,2.3017474350989735,934.0,40.0,373.19000000000005
2005-06-15,Confederations Cup,Germany,Australia,4,3,1,1,3.1431679418811242,-0.11014375144910815,0.9646043422783244,913.0,11.0,114.73000000000002
2005-06-16,Confederations Cup,Brazil,Greece,3,0,3,1,2.0789936664320976,2.789760731878957,-1.0537211661712842,714.0,49.0,329.65999999999985
2005-06-16,Confederations Cup,Japan,Mexico,1,2,-1,0,-3.3743011134802217,1.637254205164652,-0.06403906149104177,109.0,-1.0,-6.2999999999999545
2005-06-18,Confederations Cup,Australia,Argentina,2,4,-2,0,-5.00809385770696,-1.6198671566501552,-0.6072769414280534,-738.0,-23.0,-295.96000000000004
2005-06-18,Confederations Cup,Germany,Tunisia,3,0,3,1,-2.163638936049807,-2.9586587436332756,2.6590748359492444,1109.0,28.0,191.96000000000004
